ID,História de Crédito,Dívida,Garantia,Renda,Emprego,Idade,Risco
E1,Ruim,Alta,Nenhuma,$0 a $15k,Desempregado,Jovem,Alto
E2,Desconhecida,Alta,Nenhuma,$15 a $35k,Empregado,Adulto,Alto
E3,Desconhecida,Baixa,Nenhuma,$15 a $35k,Desempregado,Jovem,Moderado
E4,Desconhecida,Baixa,Nenhuma,$0 a $15k,Empregado,Sênior,Alto
E5,Desconhecida,Baixa,Nenhuma,Acima de $35k,Empregado,Adulto,Baixo
E6,Desconhecida,Baixa,Adequada,Acima de $35k,Empregado,Jovem,Baixo
E7,Ruim,Baixa,Nenhuma,$0 a $15k,Desempregado,Adulto,Alto
E8,Ruim,Baixa,Adequada,Acima de $35k,Empregado,Sênior,Moderado
E9,Boa,Baixa,Nenhuma,Acima de $35k,Empregado,Adulto,Baixo
E10,Boa,Alta,Adequada,Acima de $35k,Empregado,Jovem,Baixo
E11,Boa,Alta,Nenhuma,$0 a $15k,Desempregado,Jovem,Alto
E12,Boa,Alta,Nenhuma,$15 a $35k,Empregado,Sênior,Moderado
E13,Boa,Alta,Nenhuma,Acima de $35k,Empregado,Adulto,Baixo
E14,Ruim,Alta,Nenhuma,$15 a $35k,Desempregado,Adulto,Alto
E15,Desconhecida,Alta,Adequada,$0 a $15k,Empregado,Jovem,Moderado
E16,Boa,Baixa,Adequada,$15 a $35k,Empregado,Adulto,Baixo
E17,Ruim,Alta,Nenhuma,Acima de $35k,Empregado,Sênior,Alto
E18,Boa,Baixa,Nenhuma,$0 a $15k,Desempregado,Jovem,Moderado
E19,Desconhecida,Alta,Nenhuma,Acima de $35k,Empregado,Adulto,Alto
E20,Ruim,Baixa,Adequada,$15 a $35k,Empregado,Jovem,Moderado
E21,Boa,Alta,Adequada,$15 a $35k,Empregado,Sênior,Baixo
E22,Desconhecida,Baixa,Nenhuma,$0 a $15k,Desempregado,Adulto,Alto
E23,Ruim,Alta,Adequada,$15 a $35k,Empregado,Adulto,Moderado
E24,Boa,Baixa,Adequada,Acima de $35k,Empregado,Jovem,Baixo
E25,Desconhecida,Alta,Nenhuma,$0 a $15k,Desempregado,Jovem,Alto
E26,Boa,Baixa,Nenhuma,$15 a $35k,Empregado,Adulto,Moderado
E27,Ruim,Alta,Nenhuma,$0 a $15k,Desempregado,Sênior,Alto
E28,Desconhecida,Baixa,Adequada,Acima de $35k,Empregado,Adulto,Baixo
E29,Boa,Alta,Nenhuma,$15 a $35k,Desempregado,Jovem,Moderado
E30,Ruim,Baixa,Nenhuma,Acima de $35k,Empregado,Sênior,Moderado